team_name,model_name,model_abbr,model_contributors,website_url,license,team_model_designation,methods,data_inputs,methods_long,team_funding,citation,repo_url,twitter_handles,institution_affil,this_model_is_an_ensemble
Google Cloud AI,Google-Harvard CPF,Google_Harvard-CPF,"Andrew Max (Google Cloud AI) <amax@google.com>, Arkady Epshteyn (Google Cloud AI) <aepshtey@google.com>, Brian Kang (Google Cloud AI) <briankang@google.com>, Chun-Liang Li (Google Cloud AI) <chunliang@google.com>, Dario Sava (Google Cloud AI) <dariosava@google.com>, David Parish (Google Cloud AI)<dmparish@google.com>, Derrick Miller (Google Cloud) <millerderrick@google.com>, Elli Kanal (Google Cloud AI) <ekanal@google.com>, Hanchao Liu (Google Cloud AI) <hanchaoliu@google.com>, Hootan Nakhost (Google Cloud AI) <hootan@google.com>, Isaac Jones (Google Cloud AI) <ipjones@google.com>, Jeremy Lai (Google Cloud AI) <jeremylai@google.com>, Jasmin Repenning (Google Cloud AI) <jrepenning@google.com>, Jinsung Yoon (Google Cloud AI) <jinsungyoon@google.com>, Karthik Ramasamy (Google Cloud AI) <cartick@google.com>, Leyou Zhang (Google Cloud AI) <leyouz@google.com>, Long Le (Google Cloud AI) <longtle@google.com>, Martin Nikoltchev (Google Cloud AI) <mnikoltchev@google.com>, Matthew Siegler (Google Cloud AI AI) <msiegler@google.com>, Mike Dusenberry (Google Cloud AI) <dusenberrymw@google.com>, Nate Yoder (Google Cloud AI) <nyoder@google.com>, Ola Rozenfeld (Google Cloud AI) <olaola@google.com>, Priya Rangaswamy (Google Cloud AI) <priyar@google.com>, Raj Sinha (Google Cloud AI) <sinharaj@google.com>, Rand Xie (Google Cloud AI) <randxie@google.com>, Sercan Arik (Google Cloud AI), <soarik@google.com>, Shashank Singh (Google Cloud AI), <shashanksi@google.com>, Thomas Tsai (Havard University) <ttsai@hsph.harvard.edu>, Tomas Pfister (Google Cloud AI) <tpfister@google.com>, Vik Menon (Google Cloud AI) <vikasmenon@google.com>, Vishal Karande (Google Cloud AI) <vishalkarande@google.com>, Yash Sonthalia (Google Cloud AI) <yashks@google.com> , Yong Li (Google Cloud AI) <yyongli@google.com>",https://cloud.google.com/blog/products/ai-machine-learning/google-cloud-is-releasing-the-covid-19-public-forecasts,other,primary,"Our model improves upon standard compartmental models by using temporally and spatially rich data, and integrating covariate encodings into compartment transitions via end-to-end learning.",NA,NA,NA,https://arxiv.org/abs/2008.00646,NA,NA,NA,NA
Institute of Business Forecasting,Time Series Model with a unique technique to capture the pattern and using it to prepare the forecast.,IBF-TimeSeries,Dr. Chaman L. Jain (IBF) <cjain@ibf.org>,https://ibf.org,mit,primary,Time Series Model with proprietary modifications,WorldoMeter.com,Time Series Model with proprietary modifications,Institute of Business Forecasting,NA,NA,NA,NA,NA
Institute for Health Metrics and Evaluation,CurveFit,IHME-CurveFit,"Christopher Murry <cjlm@u.washington.edu>,  et al,  IHME-CurveFit Team <covid19@healthdata.org>",https://covid19.healthdata.org/united-states-of-america,cc-by-nc-4.0,primary,This model makes predictions about the future that are dependent on the assumption  that current interventions continue. Non-linear mixed efects curve-fitting.,"JHU observed deaths, data on hospital capacity and utilization for US states","This model makes predictions about the future that are dependent on the assumption  that current interventions continue. The modeling approach in this study is divided into four components:  (i) identification and processing of COVID-19 data;  (ii) statistical model estimation for population death rates as a function of time  since the death rate exceeds a threshold in a location;  (iii) predicting time to exceed a given population death threshold in states early in the pandemic; and  (iv) modeling health service utilization as a function of deaths."" CurveFit package available at: https://github.com/ihmeuw-msca/CurveFit",Bill & Melinda Gates Foundation,https://www.medrxiv.org/content/10.1101/2020.03.27.20043752v1,NA,NA,NA,NA
IQVIA ACOE,STAN,IQVIA_ACOE-STAN,"Junyi Gao (IQVIA), Rakshith Sharma (Georgia Institute of Technology), Cheng Qian (IQVIA) <alextoqc@gmail.com>, Lucas M. Glass (IQVIA), Jeffrey Spaeder (IQVIA), Justin Romberg (Georgia Institute of Technology), Jimeng Sun (University of Illinois, Urbana-Champaign), Cao Xiao (IQVIA)",https://www.iqvia.com/landing/analytics-center-of-excellence,cc-by-4.0,primary,Spatio-Temporal Attention Network,"JHU CSSE confirmed case, recovered cases and deaths, state population, state population density, daily reported claims data from IQVIA",We proposed a spatio-temporal attention network (STAN) for state-level pandemic prediction. Our method aims at addressing these limitations and making earlier and more accurate pandemic outbreak predictions by (1) using patients EHR data from different states that encode local disease status and medical resource utilization condition; (2) considering demographic similarity and geographical proximity between locations; and (3) integrating pandemic transmission dynamics into deep learning models. STAN uses an attention-based graph convolutional network to capture geographical and temporal trends and predict the number of cases for a fixed number of days into the future. We also designed a physical law-based loss term for enhancing long-term prediction.,NA,https://arxiv.org/abs/2008.04215,NA,NA,NA,NA
Collaborative team of Iowa State and Peking University,Extended varying coefficient SEIR model,ISUandPKU-vSEIdR,"Yumou Qiu <yumouqiu@iastate.edu>,  Song Xi Chen <csx@gsm.pku.edu.cn> ",https://yumouqiu.shinyapps.io/covid-predict/,cc-by-4.0,primary,Estimate the effective reproduction number and conduct forecast for the  number of daily new cases and death based on an extended varying coefficient  SEIR model. ,https://covidtracking.com; confirmed cases; reported fatalities; population,"May 23: We propose an extended varying coefficient Susceptible-Exposed-Infected-Recovered (vSEIdR) model, which extends the classical epidemic SIR and SEIR models by allowing infections in the exposed E state. This would better capture the COVID-19 reality that most infections are made before clinical diagnosed.",NA,NA,NA,NA,NA,NA
Imperial,Ensemble1,Imperial-ensemble1,Sangeeta Bhatia <s.bhatia@imperial.ac.uk>,https://mrc-ide.github.io/covid19-short-term-forecasts/index.html,cc-by-nc-4.0,other,A disease transmission model with no assumptions about the future intervention strategies.,NA,NA,NA,NA,NA,NA,NA,NA
Imperial,Ensemble2,Imperial-ensemble2,Sangeeta Bhatia <s.bhatia@imperial.ac.uk>,https://mrc-ide.github.io/covid19-short-term-forecasts/index.html,cc-by-nc-4.0,primary,A disease transmission model with no assumptions about the future intervention strategies.,NA,NA,NA,NA,NA,NA,NA,NA
Iowa State - Lily Wang's Research Group,Spatiotemporal Epidemic Modeling,IowaStateLW-STEM,"Lily Wang <lilywang@iastate.edu>, Guannan Wang <gwang01@wm.edu>, Lei Gao <lgao@iastate.edu>, Xinyi Li <xli@samsi.info>, Shan Yu <syu@iastate.edu>, Myungjin Kim <mjkim@iastate.edu>, Yueying Wang <yueyingw@iastate.edu>, Zhiling Gu <zlgu@iastate.edu>",https://covid19.stat.iastate.edu,cc-by-4.0,primary,"Spatiotemporal Dynamics, Nowcasting and Forecasting of COVID-19 in the United States.","New York Times -nytimes/covid-19-data, health department webpages,  County-level infected case and death data","We develop a nonparametric space-time disease transmission model for the epidemic data, and to study the spatial-temporal pattern in the spread of COVID-19 at the county level. The proposed methodology can be used to dissect the spatial structure and dynamics of spread, as well as to forecast how this outbreak may unfold through time and space in the future. The projections assume that the data used is reliable, the future will continue to follow the current pattern, and current interventions will remain the same till the end of forecasting period.",NA,https://arxiv.org/abs/2004.14103,NA,LilyWan84496995,NA,NA
John Burant (JCB),PRM,JCB-PRM,John Burant <john@the99percent.nl>,https://github.com/JohnBurant/COVID19-PRM,cc-by-4.0,primary,The Political Realities Model (PRM) is built on observations of macro-level societal and political responses to COVID measured only in terms of infections and deaths.,"JHU CSSE case and death data, as processed by Reich lab","The Political Realities Model (PRM) is built on observations of macro-level societal and political responses to COVID19 characterized only in terms of infections and deaths. The starting point of the model is the hypothesis that although individuals and policy makers have responded to the epidemic with a wide variety of behavioral modifications and policy actions, the actual net impact of the measures taken, though not identical across time or geography, is predictable. Moreover, these predictions can be based upon what a society and its elected officials have demonstrated it (they) will accept as a reasonable aggregate impact from COVID19. This model seeks to identify one or more ""acceptability"" range(s) from observation of the epidemic up to the current time and to understand how much impact on infection rates is achieved by responses in this (these) range(s). Deaths, in turn, are related to infections via a simple (time- and geographically-varying) phenomenological model derived through fitting. This allows the model to build in spatiotemporal variation in the demographics of the population, its access to health care & COVID testing, and the actual infection fatality rate without explicitly considering these factors. At present the model is deterministic rather than probabilistic, and so only provides point forecasts. The model considers the United States at the state level.",NA,NA,NA,JohnBurant,NA,NA
Johns Hopkins University Applied Physics Lab,Bucky,JHUAPL-Bucky,"Matt Kinsey (JHU/APL) <matt.kinsey@jhuapl.edu>, Kate Tallaksen (JHU/APL) <kate.tallaksen@jhuapl.edu>, R.F. Obrecht (JHU/APL) <freddy.obrecht@jhuapl.edu>, Laura Asher (JHU/APL) <laura.asher@jhuapl.edu>, Cash Costello (JHU/APL) <cash.costello@jhuapl.edu>, Michael Kelbaugh (JHU/APL) <michael.kelbaugh@jhuapl.edu>, Shelby Wilson (JHU/APL) <shelby.wilson@jhuapl.edu>",https://buckymodel.com,mit,primary,"Metapopulation model using public mobility data. Local parameters (case reporting rates, doubling times, etc) are estimated using data from CSSE and CDC scenario 5. Primary output is case incidence.",NA,NA,NA,NA,NA,NA,NA,NA
Johns Hopkins Center for Systems Science and Engineering,"Dynamic, Empirical COVID-19 Outbreak Model",JHU_CSSE-DECOM,"Maximilian Marshall (JHU) <mmarsh29@jhu.edu>, Lauren Gardner, Carson Drew, Erin Burman, Kristen Nixon <knixon2@jhu.edu>",https://systems.jhu.edu/research/public-health/predicting-covid-19-risk/,cc-by-4.0,primary,"County-level, empirical machine learning model driven by epidemiological, mobility, demographic, and behavioral data.",NA,NA,NA,NA,NA,NA,NA,NA
Johns Hopkins ID Dynamics COVID-19 Working Group,CovidScenarioPipeline,JHU_IDD-CovidSP,"Joseph C. Lemaitre (EPFL),  Qifang Bi (Johns Hopkins Infectious Disease Dynamics),  Juan Dent Hulse (Johns Hopkins Infectious Disease Dynamics),  M. Kate Grabowski (Johns Hopkins Infectious Disease Dynamics),  Kyra H. Grantz (Johns Hopkins Infectious Disease Dynamics),  Joshua Kaminsky (Johns Hopkins Infectious Disease Dynamics),  Stephen A. Lauer (Johns Hopkins Infectious Disease Dynamics),  Elizabeth C. Lee (Johns Hopkins Infectious Disease Dynamics)<elizabeth.c.lee@jhu.edu>,  Justin Lessler (Johns Hopkins Infectious Disease Dynamics)<justin@jhu.edu>,  Hannah R. Meredith (Johns Hopkins Infectious Disease Dynamics),  Javier Perez-Saez (Johns Hopkins Infectious Disease Dynamics),  Shaun A. Truelove (Johns Hopkins Infectious Disease Dynamics),  Lindsay T. Keegan (University of Utah),  Kathryn Kaminsky,  Sam Shah,  Josh Wills, Pierre-Yves Aquilanti (Amazon Web Services),  Karthik Raman (Amazon Web Services),  Arun Subramaniyan (Amazon Web Services),  Greg Thursam (Amazon Web Services),  Anh Tran (Amazon Web Services), Claire Smith (Johns Hopkins Infectious Disease Dynamics)",https://github.com/HopkinsIDD/COVIDScenarioPipeline,mit,primary,County-level metapopulation model with commuting and stochastic SEIR disease  dynamics with social-distancing indicators.,"USAFacts (confirmed cases; reported fatalities), NYT (territories), US Census (population),  mobility","This is a county-level metapopulation model with stochastic SEIR disease  dynamics. This model incorporates uncertainty in epidemiological parameters  and the effectiveness of state-wide intervention policies on social  distancing and stay-at-home orders. Infections are seeded stochastically  with roughly 10 times the number of confirmed cases in the first five days  of a county epidemic and R0 and the duration of the infectious period were  drawn stochastically for each county and simulation. Disease follows SEIR dynamics and county commuting data modulates the spread of disease within counties. 
Stay-at-home orders and  subsequent social distancing interventions are updated at the state-level according to recent policy documents. States that did not implement stay-at-home orders had a single social distancing intervention that began on the day of the first reported order and endured  for the whole simulation period. Intervention effects are inferred where  possible.
To model deaths and hospitalizations in the population, we incorporated  realistic but fixed time delays from infection to symptom onset to hospitalization to  ICU to ventilator use to death and used age-specific demographics to perform  a county-level age standardization of health outcome risk. Currently, we  assume a 0.25% infection fatality rate and a 7:1 ratio of incident  hospitalizations to deaths. 
For each county, we estimate the seeding time and amount, the baseline  reproductive number, the case confirmation to infection ratio, and the  effectiveness of interventions (from closing to phased reopenings). We use an  MCMC-like inference procedure that calibrates model outputs to weekly county  aggregations of incident confirmed cases and deaths as reported by USA  Facts. For the inference of the baseline reproductive number and the case  confirmation to infection ratio, hierarchical grouping terms enable sharing  of strength among counties in the same state.
Our procedure forecasts incident and cumulative deaths by incorporating the last reported data point (pre-forecast date) from USA Facts.
The estimates reported by this model incorporate uncertainty in both epidemiological parameters (e.g., R0, infectious period, time delays to health outcomes) and the effectiveness of state-wide intervention policies  on social distancing, stay-at-home orders, and phased reopenings. We submit a single calibration to forecast deaths, cases, and hospitalizations.",State of California and US Government,https://www.medrxiv.org/content/10.1101/2020.06.11.20127894v1,NA,NA,NA,NA
JHU_UNC_GAS,StatMechPool,JHU_UNC_GAS-StatMechPool,"Justin Lessler (JHU) <justin@jhu.edu>, Jess Edwards (UNC) <jkedwar@email.unc.edu>, Keya Joshi (JHU/Harvard), Claire Smith (JHU), Paul  Zivich (JHU) , Marc Coram (Google) <mcoram@google.com>, Ellen Klein (Google), Michael Brenner (Harvard/Google), Lusann Yang (Google), Anton Geraschenko   (Google), Stephan Hoyer (Google), Dmitri Kochkov (Google), Jamie Smith (Google)",https://github.com/HopkinsIDD/EpiForecastStatMech,gpl-3.0,primary,"This model jointly trains over locations, fitting to both  mechanistic and statistical models. The statistical model  enforces  similar places having  similar mechanistic coefficients.",https://github.com/GoogleCloudPlatform/covid-19-open-data,"The model uses a detailed list of demographic parameters for US Counties, with demographic parameters taken from https://github.com/Yu-Group/covid19-severity-prediction/ and other variables (weather, mobility, etc) taken from the Opencovid Data Repo.   The prediction rollouts from the model are generated from the mechanistic model, where the allowed range of mechanistic parameters is fit on historical data for coverage. To arrive at the best model, we experimented with a large range of mechanistic and statistical models and competed these models against each other. For mechanistic models, we tried SEIR models and curve fitting models. For the statistical model, we tried linear model and  a simple multilayer perceptron. We experimented with statistical models enforcing constraints among different numbers of the mechanistic parameters. We also tried models with priors and without. We also varied how much of the trajectories are fitted with the model (last 4 week, 6 week, and so forth). Including all combinatorial choices, we ended up with 450 different models.  We evaluated model performance with split dates trained in the past and chose the best models. The best models ended up being (i) a multiplicative growth model for the mechanistic term with a linear statistical model in which the statistical model enforces constraints on all mechanistic parameters. (ii) A curve fitting mode [CITE paper] with a pseudolikelihood prior, together with a linear statistical model on all mechanistic parameters. The predictions here ensemble these two models.",NA,NA,https://github.com/HopkinsIDD/EpiForecastStatMech,NA,NA,NA
Karlen Working Group,python Population Modeller,Karlen-pypm,Dean Karlen (University of Victoria and TRIUMF) <karlen@uvic.ca>,https://pypm.github.io/home/,gpl-3.0,primary,Discrete-time difference equations with long periods of constant transmission rate,https://covidtracking.com,NA,none,https://arxiv.org/abs/2007.07156,NA,NA,NA,NA
Los Alamos National Labs,GrowthRate,LANL-GrowthRate,"Dave Osthus <dosthus@lanl.gov>,  Sara Del Valle,  Carrie Manore,  Brian Weaver,  Lauren Castro,  Courtney Shelley,  Manhong (Mandy) Smith,  Julie Spencer,  Geoffrey Fairchild,  Travis Pitts,  Dax Gerts,  Lori Dauelsberg,  Ashlynn Daughton, Morgan Gorris,  Beth Hornbein,  Daniel Israel,  Nidhi Parikh,  Deborah Shutt,  Amanda Ziemann",https://covid-19.bsvgateway.org/,other,primary,"This model makes predictions about the future, unconditional on particular intervention strategies. Statistical dynamical growth model accounting for population susceptibility.","JHU (confirmed cases; reported fatalities), population","This model makes predictions about the future, unconditional on particular  intervention strategies. The model consists of two processes. The first process  is a statistical model of how the  number of COVID-19 infections changes over time. The second process maps the number of  infections to the reported data. We model the growth of new cases as the product of a  dynamic growth parameter and the underlying numbers of susceptible and infected cases  in the population at the previous time step, scaled by the size of the state's starting  susceptible population. Change 2020-10-29: The growth parameter can be thought of as the transmissibility of the virus in that state on that date and is a weighted regression between the   trend in the growth rate over the past 42 days and a growth rate that would keep  the number of new daily confirmed cases constant. The weights of these two components are dynamically tuned to the observed data. To model new deaths in the population, we assume that a fraction of the 1,2,3,4, or 5-week moving average of the daily  confirmed cases will die. The model learns both the moving average window and the case fatality fraction that best fits the historical observations.",U.S. Department of Energy,NA,NA,NA,NA,NA
LockNQuay,ens1,LNQ-ens1,"Russ Wolfinger (SAS) <russ.wolfinger@sas.com>, David Lander (NQ)",https://www.kaggle.com/sasrdw/locknquay,mit,primary,County-level ensemble of boosted tree and neural net models. Lots of engineered features.,JHU,"https://www.kaggle.com/c/m5-forecasting-uncertainty/discussion/163368,  https://www.kaggle.com/aerdem4/covid-19-w5-pipeline",NA,https://www.kaggle.com/c/covid19-global-forecasting-week-5/overview,NA,NA,NA,NA
COVID Alliance at MIT,Two-Stage SIR,MITCovAlliance-SIR,"Jackie Baek (MIT) <baek@mit.edu>, Vivek Farias (MIT) <vivekf@mit.edu>, Andreea Georgescu (MIT) <andreeag@mit.edu>, Retsef Levi (MIT) <retsef@mit.edu>, Deeksha Sinha (MIT) <deeksha.sinha7@gmail.com>, Josh Wilde (MIT) <josh.t.wilde@gmail.com>, Andy Zheng (MIT) <atz@mit.edu>",http://infectiontrajectory.covidalliance.com/,cc-by-4.0,primary,SIR model trained on public heath regions. SIR parameters are functions of static demographic and time-varying mobility features. Two-stage approach that first learns magnitude of peak infections.,"NYT county-level cases and deaths. County and state-level static and dynamic covariates related to pace of disease transmission rate from Safegraph, US Census Bureau, CDC, Claritas, University of Michigan Health and Retirement Study",A SIR model trained at the public heath region level. SIR parameters are functions of over 60 static demographic features and time-varying dynamic features that measure changes in mobility patterns. This model proposes a two stage approach to overcome the inherent difficulty in learning the magnitude of the peak infection rate. The first stage treats the total susceptible population as an unknown parameter and learns this parameter for regions that have not yet seen a peak in cumulative infections. The second stage fits a typical SIR model with time and location varying contact parameters.,NA,https://arxiv.org/abs/2006.06373,NA,NA,NA,NA
MIT-CriticalData,Gradient Boosted COVID Forecaster (GBCF),MIT_CritData-GBCF,"Nicolas Della Penna (LCP at MIT, Amurado Research OU) <nikete@mit.edu>, Saketh Sundar<sakethsundar2009@gmail.com>, Leo A. Celi(LCP at MIT) <leoanthonyceli@yahoo.com>",https://github.com/sakethsundar/covid-forecaster,mit,primary,"This gradient boosted regressor model with hyperparameter optimization is trained on prior COVID metrics as well as demographic, socioeconomic, mobility, and health-related county-level covariates.","JHU CSSE cases and deaths data, County covariate data from https://github.com/JieYingWu/COVID-19_US_County-level_Summaries","This model uses a gradient boosted regressor with hyperparameter optimization that uses prior COVID cases and deaths as well as demographic, socioeconomic, mobility, and healthcare related county-level covariates. This model forecasts COVID deaths at the county level and aggregates to the state and national level. This model does not directly account for state reopenings and closures but indirectly via changes in the mobility measures.",NA,NA,NA,NA,NA,NA
MOBS Lab at Northeastern,GLEAM COVID-19,MOBS-GLEAM_COVID,"Alessandro Vespignani <alexves@gmail.com>, Matteo Chinazzi <m.chinazzi@northeastern.edu>, Jessica T. Davis <davis.jes@northeastern.edu>, Kunpeng Mu <mu.k@northeastern.edu>, Ana Pastore y Piontti <anapastore@gmail.com>, Nicole Samay, Xinyue Xiong <xiong.xin@northeastern.edu>, M. Elizabeth Halloran, Ira M. Longini, Jr., Natalie E. Dean, Cécile Viboud, Kaiyuan Sun, Maria Litvinova, Corrado Gioannini, Luca Rossi, Marco Ajelli",https://covid19.gleamproject.org/,other,primary,"This model makes predictions about the future that are dependent on the assumption  that current interventions continue. Metapopulation, age structured SLIR model.    ",NA,"This model makes predictions about the future that are dependent on the assumption  that current interventions continue.  The GLEAM framework is based on a metapopulation approach in which the world is divided into geographical subpopulations. Human mobility between subpopulations is represented on a network.  This mobility data layer identifies the numbers of individuals traveling from one sub-population to  another. The mobility network is made up of different kinds of mobility processes, from short-range commuting between nearby subpopulations to intercontinental flights. To model short-range mobility  such as commuting or car travel, we rely on databases collected from the Offices of Statistics of 30  countries on five continents. Superimposed on the worldwide population and mobility layers is an  agent-based epidemic model that defines the infection and population dynamics. ",NA,https://uploads-ssl.webflow.com/58e6558acc00ee8e4536c1f5/5e8bab44f5baae4c1c2a75d2_GLEAM_web.pdf,NA,NA,NA,NA
MSRA,DeepST,MSRA-DeepST,"Zhifeng Gao <zhgao@microsoft.com>, Chaozhuo Li <cli@microsoft.com>, Wei Cao <wei.cao@microsoft.com>, Shun Zheng <shun.zheng@microsoft.com>, Jiang Bian <Jiang.Bian@microsoft.com>, Xing Xie <xing.xie@microsoft.com>, Tie-Yan Liu <tie-yan.liu@microsoft.com>",https://covid.msra.cn,cc-by-4.0,primary,Our model is a deep spatio-temporal network with knowledge based SEIR as a regularier under the assumption of spatio-temporal process in pandemic of different regions.,NA,NA,NA,NA,NA,NA,NA,NA
NotreDame-FRED,NotreDame-FRED,NotreDame-FRED,"guido espana <guido.espana@nd.edu>,  rachel oidtman,  sean cavany,  alan costello,  anneliese wieler,  anita lerch,  carly barbera,  marya poterek,  quan tran,  sean moore,  alex perkins <taperkins@nd.edu>  ",https://github.com/confunguido/covid19_ND_forecasting,cc-by-4.0,secondary,FRED is an agent-based model developed for influenza with parameters modified to represent the natural history of COVID-19,NYTimes Daily reported deaths count,"We used an existing agent-based model, FRED (Framework for Reconstructing Epidemic Dynamics) which was developed by the university of Pittsburgh in response to the 2009 influenza pandemic (Grefenstette et al. 2013). We modified the model parameters to represent the natural history of COVID-19 and calibrated a set of parameters to reproduce current trends of deaths due to COVID-19 in the US. FRED simulates the spread of the virus in a population by recreating interactions among people on a daily basis. To accurately represent the population of each of the states simulated, we used a synthetic population of the US that represents demographic and geographic characteristics of the population in 2010 (Wheaton 2012). Each human is modeled as an agent that visits a set of places defined by their activity space. This activity space contains places such as households, schools, workplaces, or neighborhood locations. Transmission of SARS-CoV-2 can occur when an infected person visits the same location as a susceptible person on the same day. Numbers of contacts per person are specific to each place type. For instance, school contacts do not depend on the size of the school but the age of the agent. Infected agents have a probability to stay at home if they develop symptoms. Those who do not stay at home continue their daily activities. Public health interventions are included in the model to represent the changes in agents’ behavior in response to an epidemic.  In this study, we limited the interventions to school closure and shelter in place. Schools are closed on a specific date to represent state-level guidelines (IHME COVID-19 health service utilization forecasting Team and Murray 2020). In the case that schools are closed, students limit their activity space to household or neighborhood locations. Shelter-in-place interventions reduce each agent’s activity space to their household at a compliance level from 0-100%, which was estimated as part of the model calibration. Agents who do not comply with the shelter-in-place orders continue with their daily routines. We used state-level orders to determine the date at which people are advised to shelter in place (IHME COVID-19 health service utilization forecasting Team and Murray 2020).  See the methods file in our repo for more detailed methods and model limitations.
Updates 2020-05-11 - We updated our likelihood used in our calibration, switching from a Poisson to a negative binomial distribution in order to allow for greater over-dispersion in the distribution of deaths. - We changed the way that we calculate the proportion of the population that is sheltering in place. We no longer use the dates at which government advisories were issued. Instead, we now exclusively use the google mobility data (https://www.google.com/covid19/mobility/) on journeys made to residential locations. We calibrate the maximum compliance to shelter in place, and use a generalized additive model fitted to the google data to forecast movement in the coming 5 weeks. For more details on this approach, see the methods file in our repo.",GE and TAP were supported by a RAPID grant from the National Science Foundation (DEB 2027718).,NA,NA,NA,NA,NA
NotreDame-mobility,NotreDame-mobility,NotreDame-mobility,"guido espana <guido.espana@nd.edu>,  rachel oidtman,  sean cavany,  alan costello,  anneliese wieler,  anita lerch,  carly barbera,  marya poterek,  quan tran,  sean moore,  alex perkins <taperkins@nd.edu>   ",https://github.com/TAlexPerkins/covid19_NDmobility_forecasting,cc-by-4.0,primary,"This is an ensemble of nine models that are identical except that they are driven by different mobility indices from Apple and Google. The model underlying each is a deterministic, SEIR-like model.",NYTimes daily reported deaths count and test positivity rate,"This forecast is an ensemble of nine models that are identical except that they are driven by different mobility indices from Apple and Google. The model underlying each is a deterministic, SEIR-like model. Model simulations are initiated by imported infections, which arrive from January 1 onward according to a scaled Normal probability density. Each imported and then local infection gives rise to an average number of secondary infections distributed forward in time according to a generation interval distribution. Once infected, a proportion of those infected die at times distributed according to a distribution between symptom onset and death. Testing of a subset of symptomatic infections is distributed in time in a similar manner, and the model is fitted to data on test positivity by accounting for those seeking testing and a differential probabililty of seeking testing conditional on one's infection status. The model is simultaneously fitted to deaths according to a Poisson likelihood of daily incidence of death. There are a total of twelve model parameters that are all estimated. First, a parameter sweep is conducted to identify the parameter combination from the sweep with the highest likelihood. Then, a region around that parameter combination is assumed to have a uniform prior, and a posterior set of parameters is obtained with MCMC. The model is then simulated forward under each sampled parameter set from the posterior distribution. This process is repeated for each of nine mobility metrics from Apple and Google for 50 states and some territories where at least one type of mobility data is available. Simulations from the posterior predictive distribution of each model are pooled evenly and used to generate a probabilistic forecast in each state and at the national level.",GE and TAP were supported by a RAPID grant from the National Science Foundation (DEB 2027718).,NA,NA,NA,NA,NA
Oliver Wyman,Pandemic Navigator,OliverWyman-Navigator,"Ugur Koyluoglu <ugur.koyluoglu@oliverwyman.com>, John Milliken <john.milliken@oliverwyman.com> ",https://pandemicnavigator.oliverwyman.com/,other,primary,Oliver Wyman's Pandemic Navigator provides forecasts & scenario analysis for Detected and Undetected cases and death counts following a compartmental formulation with non-stationary transition rates.,"reported daily confirmed cases, reported daily deaths","Oliver Wyman's COVID-19 Pandemic Navigator provides forecasts and scenario analysis for Detected and Undetected cases and deaths. Our compartmental models are based on a discrete form of nonlinear differential equations, parameterized with dynamic functions (i.e. time-dependent transition rates) that incorporate: (1) the modeled effects of physical distancing and government actions; (2) evolving testing practices in terms of timeliness and scale; (3) the link to tracking and contact tracing, and (4) other region-specific characteristics. Our formulation draws on core methods from both epidemiology and physics. It is data-driven to characterize non-linear transition rates and posits underlying causal mechanisms that we have verified against mobility indices representing physical distancing in mass scale and government response actions.  Our models recalibrate daily with the arrival of new information on COVID-19.  By design, the calibration of our models use region-specific data, as the differences in the timing and execution of government restrictions, testing, population density, social behaviour norms and public responses, re-opening plans, and demographics are extremely relevant. Additional details on our approach, as well as selected forecast results, can be found at: https://pandemicnavigator.oliverwyman.com/",NA,NA,NA,NA,NA,NA
OneQuietNight,ML,OneQuietNight-ML,"Areum Jo <areumjo1@gmail.com>, Jae Cho <jaehun.cho@gmail.com>",https://github.com/One-Quiet-Night/COVID-19-forecast,mit,primary,OneQuietNight ML model uses high-level features of daily case reports and movement trends data to make predictions about future Covid-19 cases.,"https://c3.ai/customers/covid-19-data-lake/, https://covid19.apple.com/mobility, https://covidtracking.com/, https://www.google.com/covid19/mobility/, https://github.com/CSSEGISandData/COVID-19",NA,NA,NA,https://github.com/One-Quiet-Night/COVID-19-forecast,NA,NA,NA
Predictive Science Inc,Disease Rapid Analysis and Forecasting Tool,PSI-DRAFT,"James Turtle <jturtle@predsci.com>,  Michal Ben-Nun <mbennun@predsci.com>,  Pete Riley <pete@predsci.com>",https://github.com/reichlab/covid19-forecast-hub/tree/master/data-processed/PSI-DRAFT,mit,primary,"A stochastic/deterministic, single-population SEIRX model that stratifies by both age distribution and disease severity and includes generic intervention fitting. ","JHU cumulative deaths,  U.S. Census populations and age distributions","Deterministic fit of a compartmental SEIRX model to cumulative death profiles, followed by stochastic simulations using the optimal parameters. All compartments are stratified by age. 'I' compartments are additionally divided by disease severity into Asymptomatic, Mild, Flu-like, and Severe.  Severe disease is defined by the need for an ICU bed. Interventions are fit generically to an n-value smooth function.  Forward projections are conditional on interventions/reproductive number remaining unchanged.
 Updates:
 July 20 - model is fit using MCMC procedure
 August 10 - R(t) is fit using n=3, 4, and 5 values. The n-value resulting in the lowest AICc score is used for the forecast.",NSF,NA,https://github.com/predsci/DRAFT,NA,NA,NA
Pandemic Central (itsonit.com),USCounty,PandemicCentral-USCounty,"Joseph Galasso (University of Dallas) <jgalasso@udallas.edu>, Duy Cao (University of Dallas) <caominhduy@gmail.com>",https://itsonit.com,mit,primary,County-level Projected New Cases using Random Forest learning method,"Apple Mobility Trends, Google Mobility Reports, Facebook Movement Ranges, CCVI, Census, COVIDTracking, IHME, JHU CSSEGISandData",NA,NA,NA,https://github.com/solveforj/pandemic-central,NA,NA,NA
